element,second_name,total_points,goals_scored,assists,minutes,clean_sheets,goals_conceded
193,Oxlade-Chamberlain,56,3,0,1096,7,7
194,Shaqiri,14,1,0,174,1,2
195,Lallana,27,1,1,371,1,5
196,Keita,25,1,1,365,3,2
197,Tavares,45,1,1,1444,3,16
198,Henderson,99,3,5,1883,14,9
199,Wijnaldum,85,3,0,2321,11,18
200,Milner,45,2,2,758,4,7
201,Camacho,0,0,0,0,0,0
464,Brewster,0,0,0,0,0,0
526,San Miguel del Castillo,27,0,0,873,2,10
530,Lonergan,0,0,0,0,0,0
531,Kelleher,0,0,0,0,0,0
550,Elliott,1,0,0,1,0,0
569,Jones,2,0,0,19,0,0
575,Williams,0,0,0,0,0,0
589,Phillips,0,0,0,0,0,0
590,Minamino,3,0,0,77,0,1
628,Hoever,0,0,0,0,0,0
202,Laporte,22,0,0,504,3,3
203,Walker,73,1,2,1807,7,22
204,Mendy,49,0,2,1114,5,12
206,Zinchenko,31,0,0,905,4,12
207,Stones,24,0,0,904,2,15
208,Otamendi,66,2,1,1413,5,19
209,da Silva,0,0,0,0,0,0
210,Agüero,124,16,4,1394,5,18
211,de Jesus,97,10,5,1333,6,12
212,Santana de Moraes,82,0,0,2171,9,27
213,Bravo,11,0,0,346,1,7
214,Sterling,118,11,2,2018,8,27
215,De Bruyne,178,8,18,2148,12,20
216,Sané,0,0,0,0,0,0
217,Mahrez,121,7,10,1382,6,11
218,Veiga de Carvalho e Silva,86,5,5,1492,6,22
219,Silva,90,3,9,1252,7,12
220,Foden,19,0,1,353,0,6
221,Luiz Rosa,44,0,0,1995,9,23
222,Gündogan,52,2,1,1585,4,26
440,Esmorís Tasende,11,0,1,422,0,7
443,Hernandez,73,3,1,1953,10,25
518,Cancelo,25,0,0,783,2,10
544,Garcia,11,0,0,269,1,5
562,Carson,0,0,0,0,0,0
122,Wan-Bissaka,85,0,2,2330,7,28
160,Maguire,89,1,0,2610,8,30
223,Smalling,0,0,0,0,0,0
224,Young,24,0,0,953,2,10
225,Lindelöf,79,1,0,2340,7,27
226,Shaw,46,0,0,1233,5,11
227,Rojo,3,0,0,121,0,2
228,Bailly,7,0,0,102,1,0
229,Dalot Teixeira,4,0,0,65,0,1
230,Darmian,0,0,0,0,0,0
231,Jones,2,0,0,135,0,3
